,Daily Active Users
2014-08-02,13436
2014-08-03,12641
2014-08-04,11472
2014-08-05,10331
2014-08-06,13909
2014-08-07,13127
2014-08-08,13428
2014-08-09,12933
2014-08-10,12046
2014-08-11,11041
2014-08-12,9941
2014-08-13,13292
2014-08-14,12743
2014-08-15,12151
2014-08-16,11021
2014-08-17,8852
2014-08-18,9908
2014-08-19,8543
2014-08-20,11629
2014-08-21,10673
2014-08-22,8375
2014-08-23,11477
2014-08-24,11054
2014-08-25,10182
2014-08-26,9114
2014-08-27,12282
2014-08-28,12178
2014-08-29,9887
2014-08-30,12182
2014-08-31,11535
2014-09-01,10885
2014-09-02,10036
2014-09-03,13152
2014-09-04,13132
2014-09-05,12769
2014-09-06,12723
2014-09-07,12037
2014-09-08,10879
2014-09-09,9624
2014-09-10,12548
2014-09-11,11482
2014-09-12,13386
2014-09-13,12845
2014-09-14,11890
2014-09-15,10971
2014-09-16,9963
2014-09-17,13212
2014-09-18,12805
2014-09-19,12415
2014-09-20,12152
2014-09-21,11465
2014-09-22,8702
2014-09-23,10016
2014-09-24,12163
2014-09-25,12215
2014-09-26,11998
2014-09-27,12035
2014-09-28,10945
2014-09-29,10731
2014-09-30,9842
2014-10-01,13143
2014-10-02,12645
2014-10-03,12707
2014-10-04,12615
2014-10-05,12043
2014-10-06,10706
2014-10-07,9551
2014-10-08,12810
2014-10-09,12467
2014-10-10,11922
2014-10-11,12070
2014-10-12,11016
2014-10-13,10457
2014-10-14,9472
2014-10-15,12813
2014-10-16,12204
2014-10-17,11766
2014-10-18,11751
2014-10-19,11180
2014-10-20,10000
2014-10-21,8885
2014-10-22,12645
2014-10-23,12684
2014-10-24,11871
2014-10-25,11422
2014-10-26,11377
2014-10-27,10621
2014-10-28,9417
2014-10-29,12753
2014-10-30,12252
2014-10-31,12492
2014-11-01,12914
2014-11-02,12185
2014-11-03,11129
2014-11-04,9954
2014-11-05,13535
2014-11-06,13162
2014-11-07,12704
2014-11-08,12506
2014-11-09,11780
2014-11-10,10716
2014-11-11,10872
2014-11-12,13561
2014-11-13,13213
2014-11-14,12867
2014-11-15,11894
2014-11-16,11617
2014-11-17,10551
2014-11-18,9201
2014-11-19,12333
2014-11-20,10565
2014-11-21,12660
2014-11-22,12043
2014-11-23,11681
2014-11-24,10652
2014-11-25,9659
2014-11-26,13553
2014-11-27,13290
2014-11-28,13140
2014-11-29,13035
2014-11-30,12631
2014-12-01,11559
2014-12-02,10267
2014-12-03,13862
2014-12-04,13584
2014-12-05,13320
2014-12-06,13076
2014-12-07,12317
2014-12-08,11064
2014-12-09,9892
2014-12-10,13821
2014-12-11,13521
2014-12-12,14371
2014-12-13,14088
2014-12-14,13488
2014-12-15,12180
2014-12-16,10507
2014-12-17,14737
2014-12-18,14082
2014-12-19,13768
2014-12-20,13359
2014-12-21,12861
2014-12-22,11470
2014-12-23,9430
2014-12-24,11097
2014-12-25,10759
2014-12-26,13685
2014-12-27,13289
2014-12-28,13001
2014-12-29,11803
2014-12-30,10022
2014-12-31,10765
2015-01-01,9748
2015-01-02,15427
2015-01-03,15209
2015-01-04,14599
2015-01-05,12959
2015-01-06,11264
2015-01-07,14871
2015-01-08,13833
2015-01-09,13998
2015-01-10,14190
2015-01-11,13570
2015-01-12,12329
2015-01-13,10664
2015-01-14,14576
2015-01-15,13938
2015-01-16,13496
2015-01-17,13176
2015-01-18,12484
2015-01-19,11388
2015-01-20,10149
2015-01-21,14139
2015-01-22,13358
2015-01-23,13140
2015-01-24,12954
2015-01-25,12629
2015-01-26,11851
2015-01-27,10730
2015-01-28,14907
2015-01-29,14637
2015-01-30,8962
2015-01-31,14441
2015-02-01,14561
2015-02-02,13023
2015-02-03,11347
2015-02-04,14730
2015-02-05,12367
2015-02-06,15230
2015-02-07,14671
2015-02-08,13603
2015-02-09,12715
2015-02-10,11084
2015-02-11,15019
2015-02-12,14364
2015-02-13,14086
2015-02-14,13770
2015-02-15,13072
2015-02-16,11878
2015-02-17,10325
2015-02-18,13980
2015-02-19,13146
2015-02-20,13112
2015-02-21,12643
2015-02-22,11888
2015-02-23,11090
2015-02-24,9634
2015-02-25,14108
2015-02-26,13572
2015-02-27,13461
2015-02-28,13650
2015-03-01,13326
2015-03-02,12202
2015-03-03,11103
2015-03-04,14800
2015-03-05,14629
2015-03-06,13421
2015-03-07,11853
2015-03-08,13541
2015-03-09,11898
2015-03-10,10012
2015-03-11,14217
2015-03-12,13495
2015-03-13,13173
2015-03-14,13392
2015-03-15,12397
2015-03-16,11137
2015-03-17,9822
2015-03-18,13434
2015-03-19,12936
2015-03-20,12388
2015-03-21,12232
2015-03-22,10787
2015-03-23,9446
2015-03-24,8417
2015-03-25,12434
2015-03-26,12066
2015-03-27,12000
2015-03-28,12334
2015-03-29,11951
2015-03-30,10892
2015-03-31,9811
2015-04-01,13762
2015-04-02,13228
2015-04-03,11735
2015-04-04,13715
2015-04-05,12826
2015-04-06,9358
2015-04-07,10097
2015-04-08,13891
2015-04-09,12858
2015-04-10,12136
2015-04-11,12235
2015-04-12,11602
2015-04-13,10246
2015-04-14,8813
2015-04-15,12343
2015-04-16,10998
2015-04-17,7430
2015-04-18,10236
2015-04-19,9487
2015-04-20,10165
2015-04-21,8896
2015-04-22,12304
2015-04-23,12051
2015-04-24,11714
2015-04-25,11773
2015-04-26,11876
2015-04-27,10737
2015-04-28,9428
2015-04-29,13224
2015-04-30,12385
2015-05-01,11087
2015-05-02,13352
2015-05-03,12574
2015-05-04,11467
2015-05-05,10353
2015-05-06,13817
2015-05-07,13905
2015-05-08,13511
2015-05-09,13231
2015-05-10,12670
2015-05-11,12440
2015-05-12,11168
2015-05-13,14034
2015-05-14,10355
2015-05-15,14119
2015-05-16,13342
2015-05-17,12718
2015-05-18,12163
2015-05-19,10969
2015-05-20,14410
2015-05-21,14138
2015-05-22,13176
2015-05-23,13906
2015-05-24,13683
2015-05-25,12918
2015-05-26,11769
2015-05-27,15137
2015-05-28,13917
2015-05-29,13090
2015-05-30,11549
2015-05-31,11076
2015-06-01,8867
2015-06-02,7173
2015-06-03,6647
2015-06-04,4484
2015-06-05,2668
2015-06-06,4605
2015-06-07,6213
2015-06-08,7161
2015-06-09,7078
2015-06-10,12598
2015-06-11,13634
2015-06-12,13756
2015-06-13,13559
