"STUDY_ID","ABUNDANCE","BIOMASS","YEAR","LATITUDE","LONGITUDE","PLOT","DEPTH","SAMPLE_DESC","GENUS_SPECIES"
"516","4","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Artibeus planirostris"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Carollia brevicauda"
"516","20","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Carollia perspicillata"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Desmodus rotundus"
"516","2","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Lophostoma silvicolum"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Pteronotus parnellii"
"516","5","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Rhinophylla pumilio"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Trachops cirrhosus"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_13_2_1997_22_1_12*147","Trinycteris nicefori"
"516","8","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_14_2_1997_23_1_12*147","Carollia perspicillata"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_14_2_1997_23_1_12*147","Lophostoma silvicolum"
"516","1","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_14_2_1997_23_1_12*147","Pteronotus parnellii"
"516","4","0","1997","-2.396499","-59.850568","12","0","-2.39649898473_-59.8505682841_continuous.forest_NA_rainy_14_2_1997_23_1_12*147","Rhinophylla pumilio"
"516","1","0","1997","-2.404825","-59.871139","2","0","-2.40482526521_-59.8711386005_fragment.interior_10ha_rainy_15_2_1997_24_1_2*147","Artibeus obscurus"
"516","1","0","1997","-2.404825","-59.871139","2","0","-2.40482526521_-59.8711386005_fragment.interior_10ha_rainy_15_2_1997_24_1_2*147","Artibeus planirostris"
"516","85","0","1997","-2.404825","-59.871139","2","0","-2.40482526521_-59.8711386005_fragment.interior_10ha_rainy_15_2_1997_24_1_2*147","Carollia perspicillata"
"516","1","0","1997","-2.404825","-59.871139","2","0","-2.40482526521_-59.8711386005_fragment.interior_10ha_rainy_15_2_1997_24_1_2*147","Desmodus rotundus"
"516","6","0","1997","-2.404825","-59.871139","2","0","-2.40482526521_-59.8711386005_fragment.interior_10ha_rainy_15_2_1997_24_1_2*147","Rhinophylla pumilio"
"516","2","0","1997","-2.404825","-59.871139","2","0","-2.40482526521_-59.8711386005_fragment.interior_10ha_rainy_15_2_1997_24_1_2*147","Sturnira lilium"
"516","3","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_rainy_16_2_1997_25_1_6*147","Artibeus obscurus"
"516","2","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_rainy_16_2_1997_25_1_6*147","Artibeus planirostris"
"516","6","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_rainy_16_2_1997_25_1_6*147","Carollia perspicillata"
"516","1","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_rainy_16_2_1997_25_1_6*147","Lophostoma silvicolum"
"516","2","0","1997","-2.373026","-59.969803","6","0","-2.37302586883_-59.9698033943_fragment.interior_1ha_rainy_16_2_1997_25_1_6*147","Rhinophylla pumilio"
"516","2","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_rainy_17_2_1997_26_1_7*147","Artibeus planirostris"
"516","2","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_rainy_17_2_1997_26_1_7*147","Carollia brevicauda"
"516","26","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_rainy_17_2_1997_26_1_7*147","Carollia perspicillata"
"516","1","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_rainy_17_2_1997_26_1_7*147","Lophostoma silvicolum"
"516","2","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_rainy_17_2_1997_26_1_7*147","Lonchopylla thomasi"
"516","1","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_rainy_17_2_1997_26_1_7*147","Micronycteris hirsuta"
"516","2","0","1997","-2.355737","-59.957769","7","0","-2.355737327_-59.9577689582_fragment.interior_10ha_rainy_17_2_1997_26_1_7*147","Phyllostomus discolor"
